model-id,hf-link,base-model,dataset
timm/mobilenetv3_small_100.lamb_in1k,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,,
timm/resnet50.a1_in1k,https://huggingface.co/timm/resnet50.a1_in1k,,
timm/vit_base_patch16_clip_224.openai,https://huggingface.co/timm/vit_base_patch16_clip_224.openai,,
timm/inception_v3.tv_in1k,https://huggingface.co/timm/inception_v3.tv_in1k,,
timm/swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,https://huggingface.co/timm/swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,,
timm/eva_giant_patch14_560.m30m_ft_in22k_in1k,https://huggingface.co/timm/eva_giant_patch14_560.m30m_ft_in22k_in1k,,
timm/efficientnet_b0.ra_in1k,https://huggingface.co/timm/efficientnet_b0.ra_in1k,,
timm/beitv2_base_patch16_224.in1k_ft_in22k,https://huggingface.co/timm/beitv2_base_patch16_224.in1k_ft_in22k,,
timm/mobilevit_s.cvnets_in1k,https://huggingface.co/timm/mobilevit_s.cvnets_in1k,,
timm/inception_v4.tf_in1k,https://huggingface.co/timm/inception_v4.tf_in1k,,
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,https://huggingface.co/timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,,
timm/wide_resnet50_2.racm_in1k,https://huggingface.co/timm/wide_resnet50_2.racm_in1k,,
timm/convnext_tiny.in12k,https://huggingface.co/timm/convnext_tiny.in12k,,
timm/nfnet_l0.ra2_in1k,https://huggingface.co/timm/nfnet_l0.ra2_in1k,,
timm/maxvit_nano_rw_256.sw_in1k,https://huggingface.co/timm/maxvit_nano_rw_256.sw_in1k,,
timm/tresnet_l.miil_in1k,https://huggingface.co/timm/tresnet_l.miil_in1k,,
timm/tf_efficientnetv2_m.in21k,https://huggingface.co/timm/tf_efficientnetv2_m.in21k,,
timm/twins_svt_large.in1k,https://huggingface.co/timm/twins_svt_large.in1k,,
timm/regnety_032.ra_in1k,https://huggingface.co/timm/regnety_032.ra_in1k,,
timm/dm_nfnet_f0.dm_in1k,https://huggingface.co/timm/dm_nfnet_f0.dm_in1k,,
timm/mixer_b16_224.goog_in21k_ft_in1k,https://huggingface.co/timm/mixer_b16_224.goog_in21k_ft_in1k,,
timm/deit_base_patch16_224.fb_in1k,https://huggingface.co/timm/deit_base_patch16_224.fb_in1k,,
timm/densenet121.ra_in1k,https://huggingface.co/timm/densenet121.ra_in1k,,
timm/resmlp_12_224.fb_in1k,https://huggingface.co/timm/resmlp_12_224.fb_in1k,,
timm/deit3_small_patch16_384.fb_in22k_ft_in1k,https://huggingface.co/timm/deit3_small_patch16_384.fb_in22k_ft_in1k,,
timm/lcnet_050.ra2_in1k,https://huggingface.co/timm/lcnet_050.ra2_in1k,,
timm/davit_base.msft_in1k,https://huggingface.co/timm/davit_base.msft_in1k,,
timm/levit_128.fb_dist_in1k,https://huggingface.co/timm/levit_128.fb_dist_in1k,,
timm/regnety_002.pycls_in1k,https://huggingface.co/timm/regnety_002.pycls_in1k,,
timm/hrnet_w18.ms_aug_in1k,https://huggingface.co/timm/hrnet_w18.ms_aug_in1k,,
timm/ese_vovnet19b_dw.ra_in1k,https://huggingface.co/timm/ese_vovnet19b_dw.ra_in1k,,
timm/repvgg_a2.rvgg_in1k,https://huggingface.co/timm/repvgg_a2.rvgg_in1k,,
timm/ghostnet_100.in1k,https://huggingface.co/timm/ghostnet_100.in1k,,
timm/visformer_small.in1k,https://huggingface.co/timm/visformer_small.in1k,,
timm/dm_nfnet_f2.dm_in1k,https://huggingface.co/timm/dm_nfnet_f2.dm_in1k,,
timm/pit_b_224.in1k,https://huggingface.co/timm/pit_b_224.in1k,,
timm/volo_d1_224.sail_in1k,https://huggingface.co/timm/volo_d1_224.sail_in1k,,
timm/cspdarknet53.ra_in1k,https://huggingface.co/timm/cspdarknet53.ra_in1k,,
timm/mnasnet_100.rmsp_in1k,https://huggingface.co/timm/mnasnet_100.rmsp_in1k,,
timm/pnasnet5large.tf_in1k,https://huggingface.co/timm/pnasnet5large.tf_in1k,,
timm/vgg19.tv_in1k,https://huggingface.co/timm/vgg19.tv_in1k,,
timm/res2next50.in1k,https://huggingface.co/timm/res2next50.in1k,,
timm/poolformer_m36.sail_in1k,https://huggingface.co/timm/poolformer_m36.sail_in1k,,
timm/res2net101_26w_4s.in1k,https://huggingface.co/timm/res2net101_26w_4s.in1k,,
timm/spnasnet_100.rmsp_in1k,https://huggingface.co/timm/spnasnet_100.rmsp_in1k,,
timm/fbnetc_100.rmsp_in1k,https://huggingface.co/timm/fbnetc_100.rmsp_in1k,,
timm/dpn107.mx_in1k,https://huggingface.co/timm/dpn107.mx_in1k,,
timm/dla102.in1k,https://huggingface.co/timm/dla102.in1k,,
timm/tinynet_a.in1k,https://huggingface.co/timm/tinynet_a.in1k,,
timm/fbnetv3_b.ra2_in1k,https://huggingface.co/timm/fbnetv3_b.ra2_in1k,,
timm/mixnet_l.ft_in1k,https://huggingface.co/timm/mixnet_l.ft_in1k,,
timm/convmixer_768_32.in1k,https://huggingface.co/timm/convmixer_768_32.in1k,,
timm/gmixer_24_224.ra3_in1k,https://huggingface.co/timm/gmixer_24_224.ra3_in1k,,
timm/crossvit_9_240.in1k,https://huggingface.co/timm/crossvit_9_240.in1k,,
timm/cait_m36_384.fb_dist_in1k,https://huggingface.co/timm/cait_m36_384.fb_dist_in1k,,
timm/rexnet_100.nav_in1k,https://huggingface.co/timm/rexnet_100.nav_in1k,,
timm/botnet26t_256.c1_in1k,https://huggingface.co/timm/botnet26t_256.c1_in1k,,
timm/eca_halonext26ts.c1_in1k,https://huggingface.co/timm/eca_halonext26ts.c1_in1k,,
timm/sebotnet33ts_256.a1h_in1k,https://huggingface.co/timm/sebotnet33ts_256.a1h_in1k,,
timm/twins_pcpvt_base.in1k,https://huggingface.co/timm/twins_pcpvt_base.in1k,,
timm/coat_lite_mini.in1k,https://huggingface.co/timm/coat_lite_mini.in1k,,
timm/eca_botnext26ts_256.c1_in1k,https://huggingface.co/timm/eca_botnext26ts_256.c1_in1k,,
timm/selecsls42b.in1k,https://huggingface.co/timm/selecsls42b.in1k,,
timm/gernet_l.idstcv_in1k,https://huggingface.co/timm/gernet_l.idstcv_in1k,,
timm/gmlp_s16_224.ra3_in1k,https://huggingface.co/timm/gmlp_s16_224.ra3_in1k,,
timm/nest_base_jx.goog_in1k,https://huggingface.co/timm/nest_base_jx.goog_in1k,,
timm/xcit_large_24_p8_224.fb_in1k,https://huggingface.co/timm/xcit_large_24_p8_224.fb_in1k,,
timm/regnetx_004.pycls_in1k,https://huggingface.co/timm/regnetx_004.pycls_in1k,,
timm/mobilenetv4_conv_small.e1200_r224_in1k,https://huggingface.co/timm/mobilenetv4_conv_small.e1200_r224_in1k,,
timm/convnextv2_base.fcmae_ft_in22k_in1k,https://huggingface.co/timm/convnextv2_base.fcmae_ft_in22k_in1k,,
timm/convit_small.fb_in1k,https://huggingface.co/timm/convit_small.fb_in1k,,
timm/mobilevitv2_075.cvnets_in1k,https://huggingface.co/timm/mobilevitv2_075.cvnets_in1k,,
timm/fastvit_t8.apple_dist_in1k,https://huggingface.co/timm/fastvit_t8.apple_dist_in1k,,
timm/xception65p.ra3_in1k,https://huggingface.co/timm/xception65p.ra3_in1k,,
timm/edgenext_small.usi_in1k,https://huggingface.co/timm/edgenext_small.usi_in1k,,
timm/repvit_m1.dist_in1k,https://huggingface.co/timm/repvit_m1.dist_in1k,,
timm/caformer_b36.sail_in22k_ft_in1k,https://huggingface.co/timm/caformer_b36.sail_in22k_ft_in1k,,
timm/hrnet_w32.ms_in1k,https://huggingface.co/timm/hrnet_w32.ms_in1k,,
timm/seresnext26d_32x4d.bt_in1k,https://huggingface.co/timm/seresnext26d_32x4d.bt_in1k,,
timm/nf_resnet50.ra2_in1k,https://huggingface.co/timm/nf_resnet50.ra2_in1k,,
timm/samvit_base_patch16.sa1b,https://huggingface.co/timm/samvit_base_patch16.sa1b,,
timm/sam2_hiera_tiny.fb_r896_2pt1,https://huggingface.co/timm/sam2_hiera_tiny.fb_r896_2pt1,,
timm/mobilenetv2_050.lamb_in1k,https://huggingface.co/timm/mobilenetv2_050.lamb_in1k,,
timm/nasnetalarge.tf_in1k,https://huggingface.co/timm/nasnetalarge.tf_in1k,,
timm/cspresnet50.ra_in1k,https://huggingface.co/timm/cspresnet50.ra_in1k,,
timm/skresnext50_32x4d.ra_in1k,https://huggingface.co/timm/skresnext50_32x4d.ra_in1k,,
timm/ecaresnet101d.miil_in1k,https://huggingface.co/timm/ecaresnet101d.miil_in1k,,
timm/poolformerv2_s12.sail_in1k,https://huggingface.co/timm/poolformerv2_s12.sail_in1k,,
timm/resnetv2_50.a1h_in1k,https://huggingface.co/timm/resnetv2_50.a1h_in1k,,
timm/coatnet_0_rw_224.sw_in1k,https://huggingface.co/timm/coatnet_0_rw_224.sw_in1k,,
timm/gcresnext26ts.ch_in1k,https://huggingface.co/timm/gcresnext26ts.ch_in1k,,
timm/sequencer2d_l.in1k,https://huggingface.co/timm/sequencer2d_l.in1k,,
timm/pvt_v2_b2_li.in1k,https://huggingface.co/timm/pvt_v2_b2_li.in1k,,
timm/efficientformerv2_s2.snap_dist_in1k,https://huggingface.co/timm/efficientformerv2_s2.snap_dist_in1k,,
timm/flexivit_small.1200ep_in1k,https://huggingface.co/timm/flexivit_small.1200ep_in1k,,
timm/focalnet_small_lrf.ms_in1k,https://huggingface.co/timm/focalnet_small_lrf.ms_in1k,,
timm/darknetaa53.c2ns_in1k,https://huggingface.co/timm/darknetaa53.c2ns_in1k,,
timm/tiny_vit_21m_384.dist_in22k_ft_in1k,https://huggingface.co/timm/tiny_vit_21m_384.dist_in22k_ft_in1k,,
timm/regnetz_c16.ra3_in1k,https://huggingface.co/timm/regnetz_c16.ra3_in1k,,
timm/mobileone_s4.apple_in1k,https://huggingface.co/timm/mobileone_s4.apple_in1k,,