model-id,hf-link,base-model,dataset
timm/cspresnet50.ra_in1k,https://huggingface.co/timm/cspresnet50.ra_in1k,,
timm/skresnext50_32x4d.ra_in1k,https://huggingface.co/timm/skresnext50_32x4d.ra_in1k,,
timm/ecaresnet101d.miil_in1k,https://huggingface.co/timm/ecaresnet101d.miil_in1k,,
timm/poolformerv2_s12.sail_in1k,https://huggingface.co/timm/poolformerv2_s12.sail_in1k,,
timm/resnetv2_50.a1h_in1k,https://huggingface.co/timm/resnetv2_50.a1h_in1k,,
timm/coatnet_0_rw_224.sw_in1k,https://huggingface.co/timm/coatnet_0_rw_224.sw_in1k,,
timm/gcresnext26ts.ch_in1k,https://huggingface.co/timm/gcresnext26ts.ch_in1k,,
timm/sequencer2d_l.in1k,https://huggingface.co/timm/sequencer2d_l.in1k,,
timm/pvt_v2_b2_li.in1k,https://huggingface.co/timm/pvt_v2_b2_li.in1k,,
timm/efficientformerv2_s2.snap_dist_in1k,https://huggingface.co/timm/efficientformerv2_s2.snap_dist_in1k,,
timm/flexivit_small.1200ep_in1k,https://huggingface.co/timm/flexivit_small.1200ep_in1k,,
timm/focalnet_small_lrf.ms_in1k,https://huggingface.co/timm/focalnet_small_lrf.ms_in1k,,
timm/darknetaa53.c2ns_in1k,https://huggingface.co/timm/darknetaa53.c2ns_in1k,,
timm/tiny_vit_21m_384.dist_in22k_ft_in1k,https://huggingface.co/timm/tiny_vit_21m_384.dist_in22k_ft_in1k,,
timm/regnetz_c16.ra3_in1k,https://huggingface.co/timm/regnetz_c16.ra3_in1k,,
timm/mobileone_s4.apple_in1k,https://huggingface.co/timm/mobileone_s4.apple_in1k,,